2, 0, 0.10, 0.09, 1.9, 1.2, 0.4
4, 0, 0.10, 0.09, 1.9, 1.2, 0.4
8, 0, 0.10, 0.09, 1.9, 1.2, 0.4
16, 0, 0.10, 0.09, 1.9, 1.2, 0.4
32, 0, 0.10, 0.09, 1.9, 1.2, 0.4
64, 0, 0.09, 0.09, 1.9, 1.3, 0.4
128, 0, 0.09, 0.08, 2.2, 1.4, 0.4
256, 0, 0.06, 0.06, 2.7, 1.7, 0.4
512, 0, 0.03, 0.03, 3.8, 2.4, 0.5
1024, 0, 0.01, 0.01, 29.5, 3.2, 0.6
2048, 0, 0.00, 0.00, 31.8, 5.3, 0.9
4096, 0, 0.00, 0.00, 33.8, 5.6, 1.0
8192, 0, 0.00, 0.00, 37.8, 31.7, 5.5
4, 2, 0.10, 0.09, 1.9, 1.2, 0.4
8, 2, 0.10, 0.09, 1.9, 1.2, 0.4
8, 4, 0.10, 0.09, 1.9, 1.2, 0.4
16, 2, 0.10, 0.09, 1.9, 1.2, 0.4
16, 4, 0.10, 0.09, 1.9, 1.2, 0.4
16, 8, 0.10, 0.09, 1.9, 1.2, 0.4
32, 2, 0.10, 0.09, 1.9, 1.2, 0.4
32, 4, 0.10, 0.09, 1.9, 1.2, 0.4
32, 8, 0.10, 0.09, 1.9, 1.2, 0.4
32, 16, 0.10, 0.09, 1.9, 1.2, 0.4
64, 2, 0.09, 0.09, 1.9, 1.2, 0.4
64, 4, 0.09, 0.09, 1.9, 1.2, 0.4
64, 8, 0.09, 0.09, 1.9, 1.2, 0.4
64, 16, 0.09, 0.09, 1.9, 1.2, 0.4
64, 32, 0.09, 0.09, 1.9, 1.2, 0.4
128, 2, 0.08, 0.08, 2.1, 1.3, 0.4
128, 4, 0.08, 0.08, 2.1, 1.3, 0.4
128, 8, 0.08, 0.08, 2.2, 1.3, 0.4
128, 16, 0.09, 0.08, 2.2, 1.3, 0.4
128, 32, 0.09, 0.08, 2.2, 1.3, 0.4
128, 64, 0.09, 0.08, 2.2, 1.4, 0.4
256, 2, 0.06, 0.05, 2.3, 1.5, 0.4
256, 4, 0.06, 0.06, 2.5, 1.6, 0.4
256, 8, 0.06, 0.06, 2.6, 1.6, 0.4
256, 16, 0.06, 0.06, 2.7, 1.7, 0.4
256, 32, 0.06, 0.06, 2.9, 1.7, 0.4
256, 64, 0.06, 0.06, 2.9, 1.7, 0.4
256, 128, 0.06, 0.06, 2.8, 1.7, 0.4
512, 2, 0.03, 0.02, 2.7, 1.8, 0.4
512, 4, 0.03, 0.03, 3.3, 2.0, 0.5
512, 8, 0.03, 0.03, 4.9, 2.2, 0.5
512, 16, 0.03, 0.03, 4.4, 2.3, 0.5
512, 32, 0.03, 0.03, 4.2, 2.4, 0.5
512, 64, 0.03, 0.03, 4.1, 2.4, 0.5
512, 128, 0.03, 0.03, 3.9, 2.4, 0.5
1024, 2, 0.01, 0.01, 10.4, 2.0, 0.4
1024, 4, 0.01, 0.01, 7.7, 2.5, 0.5
1024, 8, 0.01, 0.01, 6.4, 2.8, 0.6
1024, 16, 0.01, 0.01, 5.8, 3.0, 0.6
1024, 32, 0.01, 0.01, 5.7, 3.1, 0.6
1024, 64, 0.01, 0.01, 5.3, 3.1, 0.6
1024, 128, 0.01, 0.01, 5.1, 3.1, 0.6
2048, 2, 0.00, 0.00, 10.5, 3.2, 0.6
2048, 4, 0.00, 0.00, 8.0, 4.0, 0.8
2048, 8, 0.00, 0.00, 7.2, 4.6, 0.9
2048, 16, 0.00, 0.00, 6.5, 4.9, 0.9
2048, 32, 0.00, 0.00, 6.5, 5.1, 0.9
2048, 64, 0.00, 0.00, 26.9, 5.2, 0.9
2048, 128, 0.00, 0.00, 31.0, 5.3, 0.9
4096, 2, 0.00, 0.00, 11.7, 3.2, 0.6
4096, 4, 0.00, 0.00, 8.8, 4.1, 0.8
4096, 8, 0.00, 0.00, 7.6, 6.0, 1.1
4096, 16, 0.00, 0.00, 7.0, 6.1, 1.1
4096, 32, 0.00, 0.00, 23.3, 5.9, 1.1
4096, 64, 0.00, 0.00, 31.8, 5.8, 1.0
4096, 128, 0.00, 0.00, 33.4, 5.7, 1.0
8192, 2, 0.00, 0.00, 11.9, 10.3, 2.1
8192, 4, 0.00, 0.00, 8.9, 8.1, 1.6
8192, 8, 0.00, 0.00, 7.8, 7.3, 1.3
8192, 16, 0.00, 0.00, 15.6, 6.6, 1.2
8192, 32, 0.00, 0.00, 29.4, 6.2, 1.1
8192, 64, 0.00, 0.00, 33.5, 5.9, 1.0
8192, 128, 0.00, 0.00, 34.0, 5.8, 1.0
